rank,coin,symbol,market_cap,price,supply,volume_24h,pct_1h,pct_24h,pct_7d
1,Bitcoin,BTC,597205944669.0,32127.27,18588756.0,67865420765.0,-0.0023,0.09369999999999999,0.2152
2,Ethereum,ETH,88367612520.0,774.53,114091185.0,19740771179.0,0.0025,0.0605,0.2181
3,Tether,USDT,21218363937.0,1.0,21205636250.0,87333964442.0,0.0,-0.0013,0.0021
4,XRP,XRP,10064026551.0,0.2217,45404028640.0,4773658725.0,-0.0016,-0.0665,-0.24789999999999998
5,Litecoin,LTC,9069424356.0,136.94,66226818.0,10532067985.0,0.0023,0.0849,0.057800000000000004
6,Polkadot,DOT,8254057307.0,9.21,896319230.0,3049232407.0,-0.0013,0.10859999999999999,0.777
7,Bitcoin Cash,BCH,6595864638.0,354.6,18600863.0,4608719269.0,0.0027,0.0369,0.0984
8,Cardano,ADA,5520054873.0,0.1774,31112484646.0,1408849504.0,-0.0025,0.0118,0.1242
9,Binance Coin,BNB,5522336922.0,38.24,144406561.0,521965394.0,0.0022,0.0089,0.1423
10,Chainlink,LINK,4882061693.0,12.22,399509556.0,1562557417.0,0.0168,0.029300000000000003,0.11449999999999999
11,USD Coin,USDC,4104611883.0,1.0,4103947168.0,1679209330.0,0.0003,0.0003,0.0004
12,Wrapped Bitcoin,WBTC,3721819349.0,32164.8,115711.0,146756920.0,-0.0005,0.0959,0.21789999999999998
13,Bitcoin SV,BSV,3035794927.0,163.09,18614302.0,439843249.0,0.0034999999999999996,-0.0002,-0.0064
14,Stellar,XLM,2801127005.0,0.1278,21914610074.0,463295709.0,-0.0052,-0.0346,-0.1308
15,Monero,XMR,2547876470.0,143.12,17802725.0,1794461266.0,0.0060999999999999995,0.052000000000000005,-0.1478
16,EOS,EOS,2466583923.0,2.63,939140946.0,2647911577.0,0.005,-0.0034000000000000002,0.0077
17,THETA,THETA,2400356533.0,2.4,1000000000.0,324942397.0,0.0027,0.2175,0.445
18,TRON,TRX,1950520170.0,0.02722,71659657369.0,980910324.0,0.0023,0.0104,-0.0187
19,NEM,XEM,1828854355.0,0.2032,8999999999.0,111874688.0,-0.0013,-0.0861,-0.1409
20,Tezos,XTZ,1509943743.0,2.0,755465464.0,233029593.0,0.0017000000000000001,-0.0051,0.011200000000000002
21,Celsius,CEL,1432990421.0,6.0,238863520.0,18752209.0,0.0123,0.09699999999999999,0.5715
22,Crypto.com Coin,CRO,1390208930.0,0.06182,22488584474.0,101498916.0,-0.0059,0.0375,0.0438
23,UNUS SED LEO,LEO,1355910652.0,1.36,999498893.0,10160156.0,-0.0004,0.0001,-0.0031
24,Dogecoin,DOGE,1356280740.0,0.01061,127776140858.0,3421562680.0,-0.0513,0.8671,1.3621
