rank,coin,symbol,market_cap,price,supply,volume_24h,pct_1h,pct_24h,pct_7d
62,BitTorrent,BTT,291092585.0,0.000294,989980327999.0,66196912.0,0.0013,0.0189,-0.0417
63,Ren,REN,280418867.0,0.317,884532525.0,58223435.0,0.0083,-0.0134,0.17600000000000002
64,Avalanche,AVAX,281960683.0,3.66,76937055.0,81260736.0,-0.0076,0.16879999999999998,0.2403
65,0x,ZRX,281143279.0,0.375,749772094.0,44535777.0,0.0241,0.058499999999999996,0.0466
66,TrueUSD,TUSD,275047239.0,1.0,275031537.0,91972447.0,0.0,0.0008,0.0
67,NEAR Protocol,NEAR,267271666.0,1.36,196911019.0,37706129.0,0.025699999999999997,-0.0265,0.3309
68,ICON,ICX,260540824.0,0.4496,579540759.0,43364196.0,-0.0026,-0.0326,0.1144
69,Paxos Standard,PAX,245646399.0,1.0,244951954.0,111598221.0,0.0034000000000000002,0.0045000000000000005,0.0033
70,Reserve Rights,RSR,236775556.0,0.02532,9349999000.0,182098583.0,0.0124,0.26899999999999996,0.4828
71,SwissBorg,CHSB,238302311.0,0.2555,932687845.0,1474726.0,-0.011000000000000001,-0.0083,-0.2061
72,Hedera Hashgraph,HBAR,222601630.0,0.03292,6760907519.0,8835535.0,0.0076,0.0344,0.0178
73,Qtum,QTUM,221594332.0,2.27,97521136.0,294003899.0,0.0018,0.0177,-0.0092
74,Loopring,LRC,211346010.0,0.1758,1202508121.0,24484684.0,0.0066,0.0351,0.1575
75,Ampleforth,AMPL,211107309.0,0.9827,214830037.0,21043471.0,0.0383,-0.0187,0.1316
76,ABBC Coin,ABBC,203509933.0,0.2415,842864280.0,47714665.0,-0.0042,-0.0102,0.037599999999999995
77,THORChain,RUNE,205018158.0,1.29,158432088.0,37783517.0,-0.0060999999999999995,0.1063,0.4025
78,Energy Web Token,EWT,193672562.0,6.44,30062138.0,833939.0,0.0014000000000000002,0.029300000000000003,-0.026600000000000002
79,TerraUSD,UST,182344046.0,1.0,182016980.0,2823175.0,-0.0025,0.0045000000000000005,0.0032
80,Celo,CELO,181712574.0,1.46,124447717.0,2059227.0,0.0044,-0.0118,0.008199999999999999
81,Augur,REP,179937620.0,16.36,11000000.0,16371949.0,0.0013,0.0113,0.0045000000000000005
82,Theta Fuel,TFUEL,166212564.0,0.03349,4962631792.0,30497640.0,-0.0004,0.0042,0.41009999999999996
83,Kyber Network,KNC,160293241.0,0.7981,200842421.0,31557627.0,0.0028000000000000004,0.0070999999999999995,-0.042300000000000004
84,HedgeTrade,HEDG,160583027.0,0.4734,339231468.0,506055.0,0.049800000000000004,0.008100000000000001,-0.0412
85,Siacoin,SC,153274124.0,0.003388,45246922992.0,6369345.0,0.0131,0.0855,0.0889
86,HUSD,HUSD,151322700.0,0.9997,151364141.0,56075228.0,0.0,0.0003,-0.0006
87,NXM,NXM,151591011.0,26.13,5801350.0,11843143.0,0.0026,-0.0204,0.35229999999999995
88,Bitcoin Gold,BTG,148835982.0,8.5,17513924.0,6954399.0,-0.0001,0.009899999999999999,0.0008
89,Lisk,LSK,147216778.0,1.16,126818058.0,5509048.0,0.0014000000000000002,0.003,-0.0356
90,MaidSafeCoin,MAID,146764505.0,0.3243,452552412.0,638953.0,0.005699999999999999,0.0507,-0.0175
91,Ocean Protocol,OCEAN,145833384.0,0.348,419026837.0,26137786.0,0.008100000000000001,0.0643,0.0725
92,Nano,NANO,137338557.0,1.03,133248297.0,7189966.0,0.0111,0.0091,-0.025699999999999997
93,Quant,QNT,133230469.0,11.04,12072738.0,2339679.0,-0.0045000000000000005,-0.0174,-0.0805
94,Aragon,ANT,127695440.0,3.22,39609523.0,18836386.0,0.0,0.0567,0.1277
95,CyberVein,CVT,126774313.0,0.1196,1060404496.0,6294741.0,-0.0116,-0.0004,0.0246
96,Decentraland,MANA,124248831.0,0.08374,1483773748.0,24364980.0,0.0016,0.0701,0.0436
97,Bancor,BNT,124012703.0,1.29,96149497.0,29215630.0,-0.0007000000000000001,0.0173,0.0613
